Round,R2,RMSE,MAE,MSE,RMSLE
1,0.9713743691418303,15.779935371479633,9.49768716756962,249.00636032807407,0.1268248146058067
2,0.9841277892914487,12.036507790906155,9.228085668224193,144.87751980054458,0.110455723916779
3,0.9810683966037234,13.745650184352705,9.728755413990504,188.94289899059555,0.12173033368581525
4,0.98666631939465,12.030206132637762,9.209109539674001,144.72585959375522,0.09809847047402676
5,0.9820414145613925,13.529328715972511,9.590909655310757,183.04273550483842,0.09618863777885024
6,0.9756312058024518,14.643686691407668,9.493130099138275,214.43755991611005,0.13400834048129137
7,0.9784324667407439,14.024901568612075,9.556786670015441,196.69786400925744,0.11436913507965032
8,0.9850182842470866,12.520328321438585,8.73261937350217,156.75862127661713,0.09202055860465524
9,0.9746218392278218,15.089473259095163,10.335188893845379,227.69220323694802,0.10359566143714433
10,0.9853341869834891,11.917302830339665,8.580861706614764,142.0221067500218,0.09862352712811673
11,0.9804137243260056,13.316458129577159,8.663120837106485,177.3280571167816,0.10355928697483485
12,0.9751166869069937,15.361833494144395,9.28817700343866,235.98592830181659,0.12528340340748317
13,0.9830394451158952,12.506489551392228,9.004214754727288,156.412280899083,0.09283431338441835
14,0.9836894484375353,12.894069364588102,9.156118839164884,166.25702477880944,0.0937395689802603
15,0.9844075373525673,11.932826116255395,8.869800186069002,142.3923391207868,0.09821452284203423
16,0.9813751084640718,13.825499145740528,9.533599735424927,191.14442662887208,0.1276880837879152
17,0.9812233316280561,13.006917132828768,9.00110596769117,169.17989330027453,0.1062795924784356
18,0.9839926265390149,12.670358467697586,9.376641739189125,160.5379836999559,0.1143193462232172
19,0.986673332139267,11.839119054153366,9.125195142898384,140.16473997841732,0.08631922692600541
20,0.9749028952884179,14.657800242266594,9.780614976094794,214.85110794219065,0.10886111809760206
