Round,R2,RMSE,MAE,MSE,RMSLE
1,0.9749223124688247,14.771023563023084,9.502057453545756,218.18313709938315,0.15551604182991793
2,0.9797264363858316,13.664795644730333,9.111694388004112,186.72664001224106,0.09099682678381883
3,0.9827439028968808,13.097364669241193,9.065856847595706,171.54096127908747,0.1204602774908967
4,0.9836170239514334,13.336414187218185,8.407918094008254,177.8599433730345,0.11276599310093627
5,0.9852545610614531,12.47704231732288,8.975012987721861,155.67658498826592,0.2692555419926964
6,0.9859552620801576,11.263265377587828,7.90101393086981,126.86114696596869,0.07779878442751417
7,0.9842964152021779,11.63850427779575,8.478146187568816,135.45478182427,0.10282403987171157
8,0.9855041381056607,12.239536486003745,8.659191739123756,149.8062533922169,0.0850224803960133
9,0.9870799294829734,10.957078341167456,7.611105650017729,120.05756577448096,0.0770611769627159
10,0.9836727849731417,12.178605327263156,8.221982438536047,148.31842771724254,0.10825017630221141
11,0.9883602934928528,9.86048317732054,7.156025177455451,97.22912849022137,0.0974817794808741
12,0.9831167369314802,12.965181755828807,8.782580209300413,168.09593796167613,0.09099481524755
13,0.9854597341362944,11.566623350640798,7.889390921955377,133.78677573558898,0.09007301352012398
14,0.9830942393276302,13.085174719261826,9.162946523127701,171.2217974336088,0.11045127667282313
15,0.9853691083050626,11.462455787558792,8.519895170112061,131.38789268174006,0.10397874695801114
16,0.9858819126692451,12.264243270753958,8.531549427634937,150.41166300423373,0.10841439374151333
17,0.9877130130590098,10.483504291338813,7.075485401214948,109.90386222651931,0.09474883455191391
18,0.9796384446949479,14.536578589248084,8.704768710909006,211.3121170813858,0.11400110387234198
19,0.9770289484228291,15.42944475069049,10.030752150125247,238.0677653146103,0.09938748404348882
20,0.9819165633086849,12.35136336808597,8.764507657161621,152.556177050496,0.15471655921476724
