Round,R2,RMSE,MAE,MSE,RMSLE
1,0.9948917447094304,6.666580755460191,2.154639175257732,44.44329896907217,0.05575040103570939
2,0.997892565485269,4.4057022042965945,2.0104810996563582,19.410211912943875,0.0608472598309486
3,0.9991367368758545,2.9294374315764435,1.396219931271478,8.581603665521191,0.036179637595465206
4,0.9988151350376839,3.5865517801037603,1.278939617083947,12.863353671365452,0.01963398752293603
5,0.9995029724558475,2.2907253611929064,1.3917525773195876,5.247422680412371,0.02170268125198124
6,0.9971231763452132,5.097580790770932,2.216128330432454,25.985329918436804,0.05446683477977914
7,0.999150120605358,2.7075495826056524,1.4742268041237117,7.330824742268042,0.02861732482159971
8,0.997339986084131,5.243060924494494,1.8994845360824746,27.489687857961055,0.04155645132692721
9,0.9979608049651884,4.353030471748856,1.982208312878417,18.948874287974068,0.032017676515522855
10,0.998925407597986,3.124376647275686,1.5471281296023562,9.761729434041658,0.0412199042459168
11,0.9990190687027931,2.86250647142833,1.5283505154639179,8.193943298969069,0.028497389378516744
12,0.9984527199366945,3.924956795030932,1.6605301914580268,15.405285842859485,0.028073932198926396
13,0.9987827883576529,3.346597395552564,1.531332842415316,11.199714127919204,0.029179766657930574
14,0.9991064134734418,3.008364627494274,1.5747422680412377,9.050257731958764,0.035325184764340885
15,0.9990692555185292,2.8910627014216486,1.5099840451644575,8.35824354355144,0.03238047352176851
16,0.9989399095374429,3.3606577657590635,1.303092783505155,11.2940206185567,0.02722307854445757
17,0.9987711181665627,3.3154221987252206,1.4370540828015055,10.992024355799977,0.048049337159463634
18,0.9984947200815826,3.952440678131989,1.908118556701031,15.621787314152458,0.04418954985771689
19,0.9972513843644665,5.337241638696846,1.7851129111438395,28.4861483098394,0.02986203818728855
20,0.9974337513526033,4.65290065830794,1.824742268041237,21.64948453608247,0.06179854252749275
